classe,page,de,en
9,158,"Arzthelfer/in, (Kranken-)Pfleger/in",nurse
9,158,Campingplatz,campground (AE)
9,158,Durst haben/bekommen,be/get thirsty
9,158,Jahreszeit; Saison,season
9,158,Klima,climate
9,158,Organisation,organization
9,158,Prüfung,exam
9,158,Rat; Ratschläge,advice
9,158,"Stätte, Stelle, Ort",site
9,158,Weihnachten,Christmas
9,158,australische/r Ureinwohner/in,Aboriginal Australian
9,158,das Hinterland Australiens,the outback
9,158,"der, die, das; die (Relativpronomen)",which
9,158,"leiden (an), erleiden",suffer (from)
9,158,nan,ChatGPT fragen
9,158,"nächste(r, s), nächstgelegene(r, s)",nearest
9,158,obwohl,although (though)
9,158,während,while
9,158,"zum Schluss, schließlich, endlich",finally
9,159,(Insekten-)Stich,sting
9,159,(die) Natur,nature
9,159,Anfang,beginning
9,159,Gefahr,danger
9,159,Geräusch; Ton; Klang,sound
9,159,Gesundheit,health
9,159,Grippe,flu
9,159,Haut,skin
9,159,Krankheit,disease
9,159,Körperbemalung,body painting
9,159,Pilot/in,pilot
9,159,Qualle,"jellyfish, pl jellyfish"
9,159,Risiko,risk
9,159,Schatten (vor der Sonne geschützt),shade
9,159,Sonnenbrand,sunburn
9,159,Sonnencreme auftragen,put on suncream
9,159,Struktur,structure
9,159,Thema,theme
9,159,Umwelt,environment
9,159,"breit, weit",wide
9,159,nan,ChatGPT fragen
9,159,"riskieren, aufs Spiel setzen",risk (verb)
9,159,sammeln; (sich) versammeln,gather
9,159,schwimmen,"swim, swam, swum"
9,160,"(das Auto/Steuer) herumreißen, (mit dem Auto) ausweichen",swerve
9,160,(ver)folgen; befolgen,follow
9,160,"Anhalter/in, Tramper/in",hitchhiker
9,160,Motor,engine
9,160,Nagellack,nail polish
9,160,"Treibstoff, Kraftstoff",fuel
9,160,Wüste,desert
9,160,bestellen,order
9,160,"dick, schwer (Person)",big
9,160,"dünn, schlank",thin
9,160,"irgendein/e/s, jede/r/s beliebige",any
9,160,nan,ChatGPT fragen
9,160,"nicht beachten, ignorieren",ignore
9,160,schnell,fast
9,160,"sein/e, seins (zu „he“)",his
9,160,tot,dead
9,160,zeigen (auf),point (at/to)
9,161,(sich) umdrehen; (Auto) sich überschlagen,turn over
9,161,(sich) verbessern,improve
9,161,Checkliste,checklist
9,161,"Fahrprüfung, Führerscheinprüfung",driving test
9,161,Nagel,nail
9,161,Notizen,notes
9,161,"Outdoor-, Natursport-",outdoor
9,161,Panik bekommen,panic
9,161,"Referat, Präsentation",presentation
9,161,"Schusswaffe, Pistole",gun
9,161,Stimme,voice
9,161,Verbrecher/in; kriminell,criminal
9,161,"an etwas/jm. vorbeigehen, vorbeifahren",pass sth./sb.
9,161,beeindrucken,impress
9,161,du darfst fahren,you may drive
9,161,eine Prüfung bestehen,pass a test
9,161,"erschießen, schießen (auf)","shoot, shot, shot"
9,161,"kontrollieren, beherrschen",control
9,161,"kopieren, abschreiben",copy
9,161,küssen,kiss
9,161,"rasen, schnell fahren",race
9,161,"stoßen, schubsen; drücken; drängen",push
9,161,unbekannt,unknown
9,161,vorbereiten; sich vorbereiten (auf),prepare (for)
9,161,Übersetzung,translation
9,162,Cybermobbing,cyberbullying
9,162,Druck,pressure
9,162,Druck ausüben auf,put pressure on
9,162,"Gleichaltrige/r, Ebenbürtige/r; jemand aus derselben sozialen Gruppe",peer
9,162,"Gruppendruck, Gruppenzwang",peer pressure
9,162,"Ich wollte (ja) nicht blöd aussehen, nicht wahr? / oder?","I didn’t want to look silly, did I?"
9,162,Ladendiebstahl,shoplifting
9,162,Schal,"scarf, pl scarves"
9,162,Zigarette,cigarette
9,162,"das Versenden von SMS; (Nachrichten-, Bild-)Übermittlung",messaging
9,162,ehrlich,honest
9,162,eifersüchtig (auf); neidisch (auf),jealous (of)
9,162,in etwas übereinstimmen; sich einig sein bei etwas,agree on sth.
9,162,motivieren,motivate
9,162,rauchen,smoke
9,162,"scheußlich, ätzend, gemein",horrible
9,162,schockiert,shocked
9,162,sich schämen (für),be/feel ashamed (of)
9,163,(jm.) etwas vorschlagen,suggest sth. (to sb.)
9,163,(über etwas) berichten,report (on sth.)
9,163,Angst haben (vor),be/feel frightened (of)
9,163,Experiment,experiment
9,163,Gesellschaft,society
9,163,Hals,neck
9,163,"Herkunft, Ursprung",origin
9,163,Kampagne,campaign
9,163,"Megan will, dass Ava ihr hilft.",Megan wants Ava to help her.
9,163,Rassismus,racism
9,163,Reaktion (auf),reaction (to)
9,163,Schlüsselwort,keyword
9,163,Sicherheitsbedienstete/r,security guard
9,163,"Vorurteil, Voreingenommenheit",prejudice
9,163,am wenigsten,least
9,163,"außer, bis auf",except (for)
9,163,denken an; sich (etwas) ausdenken,think of
9,163,frustrierend,frustrating
9,163,jm. danken; sich bei jm. (für etwas) bedanken,thank sb. (for sth.)
9,163,jn. beschimpfen,call sb. names
9,163,nan,ChatGPT fragen
9,163,rassistisch; Rassist/in,racist
9,164,(Ferien in der) Mitte des Trimesters (GB),half-term
9,164,(eine Gewohnheit/Handlungsweise) aufgeben; sich befreien von,kick (infml)
9,164,Eintrag (in Wörterbuch/Tagebuch),entry
9,164,Gefühl,feeling
9,164,Getreide; (Frühstücks-)Flocken,cereal
9,164,"Mobber/in, Tyrann/in",bully (noun)
9,164,"Tritt, Stoß, Kick",kick
9,164,autistisch,autistic
9,164,einander; sich (gegenseitig),each other
9,164,gleich(berechtigt); (jm.) ebenbürtig,equal (to sb.)
9,164,nan,ChatGPT fragen
9,164,reich,rich
9,164,"sich Mühe geben, sich bemühen",make an effort
9,164,sich mit jm. zerstreiten,fall out (with sb.)
9,164,stark sein,stand strong
9,164,stattfinden,take place
9,164,"tyrannisieren, mobben",bully (verb)
9,164,"von Bedeutung sein, wichtig sein",matter
9,164,vor etwas stehen (Problem); einer Sache ins Auge sehen; sich einer Sache stellen; einer Sache entgegentreten,face sth.
9,164,"vornehm, edel, piekfein",posh (infml)
9,164,wetten,"bet, bet, bet"
9,165,(Warte-)Schlange,queue
9,165,Bildschirm,screen
9,165,Depression(en),depression
9,165,"Gespräch, Unterhaltung",conversation
9,165,Jugendklub,youth club
9,165,"Kapitän/in, Mannschaftsführer/in",captain
9,165,"Mappe, Ordner",folder
9,165,Schauspieler/in,actor
9,165,Schulden,debts (pl)
9,165,Screenshot (Abbildung einer Bildschirmanzeige),screenshot
9,165,Sessel,armchair
9,165,einander die Hände schütteln,"shake hands, shook hands, shaken"
9,165,erfolgreich,successful
9,165,es war mir peinlich,I was embarrassed
9,165,"fast, beinahe",almost
9,165,"genau, exakt",exact
9,165,nan,ChatGPT fragen
9,165,schmutzig,dirty
