classe,page,de,en
7,162,Schottland,Scotland
7,162,Burg,castle
7,162,(Binnen-)See,lake
7,162,werfen,"throw, threw, thrown"
7,162,grau,grey
7,162,Himmel,sky
7,162,modern,modern
7,162,Gebäude,building
7,162,Hauptstadt,capital
7,162,welcher See?,which lake?
7,162,seine eigene Fahne,its own flag
7,162,Parlament,parliament
7,162,Sprache,language
7,162,"Musik-, musikalisch",musical
7,162,"Veränderung, Wechsel",change
7,162,(ein)kaufen,shop
7,162,zum letzten Mal,for the last time
7,162,"Ausrüstung, Ausstattung",equipment (no pl)
7,162,arbeitslos,unemployed
7,162,Monat,month
7,162,"Mahlzeit, Essen",meal
7,162,jm. die Schuld geben (an); jm. Vorwürfe machen (wegen),blame sb. (for)
7,162,Mach dir keine Vorwürfe.,Don’t blame yourself.
7,162,nan,ChatGPT fragen
